longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.23,37.88,41.0,1.0,1.0,322.0,126.0,10406.5,890200.0,NEAR BAY
-122.22,37.86,21.0,1.0,1.0,2401.0,1138.0,10376.749999999998,702000.0,NEAR BAY
-122.24,37.85,52.0,1.0,1.0,496.0,177.0,9071.75,689200.0,NEAR BAY
-122.25,37.85,52.0,1.0,1.0,558.0,219.0,7053.874999999999,667600.0,NEAR BAY
-122.25,37.85,52.0,1.0,1.0,565.0,259.0,4807.75,669400.0,NEAR BAY
-122.25,37.85,52.0,1.0,1.0,413.0,193.0,5046.000000000001,524400.0,NEAR BAY
-122.25,37.84,52.0,1.0,1.0,1094.0,514.0,4573.875,583400.0,NEAR BAY
-122.25,37.84,52.0,1.0,1.0,1157.0,647.0,3900.0,467800.0,NEAR BAY
-122.26,37.84,42.0,1.0,1.0,1206.0,595.0,2600.5,438400.0,NEAR BAY
-122.25,37.84,52.0,1.0,1.0,1551.0,714.0,4614.0,507200.0,NEAR BAY
-122.26,37.85,52.0,1.0,1.0,910.0,402.0,4003.875,548000.0,NEAR BAY
-122.26,37.85,52.0,1.0,1.0,1504.0,734.0,4088.1250000000005,468600.0,NEAR BAY
-122.26,37.85,52.0,1.0,1.0,1098.0,468.0,3843.75,412000.0,NEAR BAY
-122.26,37.84,52.0,1.0,1.0,345.0,174.0,3342.0,367600.0,NEAR BAY
-122.26,37.85,52.0,1.0,1.0,1212.0,620.0,2395.875,303400.0,NEAR BAY
-122.26,37.85,50.0,1.0,1.0,697.0,264.0,2656.25,265000.0,NEAR BAY
-122.27,37.85,52.0,1.0,1.0,793.0,331.0,3468.75,290000.0,NEAR BAY
-122.27,37.85,52.0,1.0,1.0,648.0,303.0,2650.25,296000.0,NEAR BAY
-122.26,37.84,50.0,1.0,1.0,990.0,419.0,2488.875,302400.0,NEAR BAY
-122.27,37.84,52.0,1.0,1.0,690.0,275.0,3254.125,310800.0,NEAR BAY
-122.27,37.85,40.0,1.0,1.0,409.0,166.0,1697.2499999999998,280000.0,NEAR BAY
-122.27,37.85,42.0,1.0,1.0,929.0,366.0,2141.875,304600.0,NEAR BAY
-122.27,37.84,52.0,1.0,1.0,1015.0,478.0,2156.25,212800.0,NEAR BAY
-122.27,37.84,52.0,1.0,1.0,853.0,325.0,2725.75,184400.0,NEAR BAY
-122.27,37.84,52.0,1.0,1.0,1006.0,422.0,3250.0,250200.0,NEAR BAY
-122.28,37.85,41.0,1.0,1.0,317.0,119.0,3004.75,200000.0,NEAR BAY
-122.28,37.85,49.0,1.0,1.0,607.0,239.0,3074.6250000000005,172600.0,NEAR BAY
-122.28,37.85,52.0,1.0,1.0,1102.0,397.0,2260.0,196000.0,NEAR BAY
-122.28,37.84,50.0,1.0,1.0,1131.0,473.0,2053.0,202800.0,NEAR BAY
-122.28,37.84,52.0,1.0,1.0,395.0,155.0,2109.375,249000.0,NEAR BAY
-122.28,37.84,49.0,1.0,1.0,863.0,378.0,2409.25,229600.0,NEAR BAY
-122.28,37.84,52.0,1.0,1.0,1168.0,441.0,2451.875,215400.0,NEAR BAY
-122.27,37.84,48.0,1.0,1.0,1026.0,335.0,2246.125,205800.0,NEAR BAY
-122.27,37.83,49.0,1.0,1.0,754.0,329.0,1718.75,194800.0,NEAR BAY
-122.27,37.83,51.0,1.0,1.0,1258.0,536.0,3412.875,204400.0,NEAR BAY
-122.27,37.83,49.0,1.0,1.0,570.0,264.0,1857.625,179400.0,NEAR BAY
-122.27,37.83,48.0,1.0,1.0,987.0,374.0,1371.5,194000.0,NEAR BAY
-122.28,37.83,52.0,1.0,1.0,901.0,403.0,1762.8750000000002,192800.0,NEAR BAY
-122.26,37.83,52.0,1.0,1.0,689.0,309.0,4350.0,367800.0,NEAR BAY
-122.26,37.83,52.0,1.0,1.0,1377.0,696.0,3237.25,337000.0,NEAR BAY
-122.26,37.83,52.0,1.0,1.0,946.0,395.0,2622.25,295800.0,NEAR BAY
-122.26,37.83,51.0,1.0,1.0,517.0,249.0,1606.4999999999998,285000.0,NEAR BAY
-122.26,37.84,49.0,1.0,1.0,462.0,189.0,1281.25,222600.0,NEAR BAY
-122.26,37.84,52.0,1.0,1.0,467.0,198.0,4955.375,362600.0,NEAR BAY
-122.26,37.83,52.0,1.0,1.0,660.0,292.0,3765.625,353800.0,NEAR BAY
-122.26,37.83,52.0,1.0,1.0,718.0,382.0,3346.0,349600.0,NEAR BAY
-122.26,37.83,50.0,1.0,1.0,616.0,304.0,2532.4999999999995,270000.0,NEAR BAY
-122.27,37.82,43.0,1.0,1.0,558.0,253.0,2168.5,260000.0,NEAR BAY
-122.26,37.82,40.0,1.0,1.0,423.0,160.0,1188.25,360000.0,NEAR BAY
-122.27,37.82,40.0,1.0,1.0,700.0,352.0,2218.75,210000.0,NEAR BAY
-122.27,37.82,21.0,1.0,1.0,735.0,438.0,1152.25,328800.0,NEAR BAY
-122.27,37.82,43.0,1.0,1.0,1061.0,407.0,1880.625,172600.0,NEAR BAY
-122.27,37.82,41.0,1.0,1.0,1959.0,720.0,1388.5,180000.0,NEAR BAY
-122.27,37.82,52.0,1.0,1.0,1162.0,400.0,1559.375,193400.0,NEAR BAY
-122.28,37.82,52.0,1.0,1.0,701.0,233.0,2012.2499999999998,160000.0,NEAR BAY
-122.28,37.82,52.0,1.0,1.0,576.0,220.0,1764.125,151200.0,NEAR BAY
-122.28,37.82,52.0,1.0,1.0,622.0,259.0,1882.125,160000.0,NEAR BAY
-122.28,37.82,52.0,1.0,1.0,728.0,244.0,1021.5,155600.0,NEAR BAY
-122.28,37.82,52.0,1.0,1.0,1074.0,304.0,1521.375,145600.0,NEAR BAY
-122.29,37.82,2.0,1.0,1.0,94.0,57.0,3203.125,105000.0,NEAR BAY
-122.29,37.83,52.0,1.0,1.0,554.0,187.0,4241.125,136400.0,NEAR BAY
-122.29,37.82,49.0,1.0,1.0,86.0,23.0,7647.874999999999,135000.0,NEAR BAY
-122.29,37.81,50.0,1.0,1.0,377.0,122.0,1126.375,157200.0,NEAR BAY
-122.3,37.81,52.0,1.0,1.0,521.0,159.0,1488.7499999999998,137200.0,NEAR BAY
-122.3,37.81,48.0,1.0,1.0,392.0,133.0,3242.25,132000.0,NEAR BAY
-122.3,37.81,52.0,1.0,1.0,604.0,187.0,1458.375,141800.0,NEAR BAY
-122.3,37.81,48.0,1.0,1.0,788.0,332.0,1007.0,153800.0,NEAR BAY
-122.29,37.8,52.0,1.0,1.0,492.0,147.0,3261.75,147600.0,NEAR BAY
-122.3,37.81,52.0,1.0,1.0,274.0,82.0,2314.5,155000.0,NEAR BAY
-122.29,37.81,46.0,1.0,1.0,1823.0,611.0,1225.25,243400.0,NEAR BAY
-122.29,37.81,26.0,1.0,1.0,392.0,127.0,2214.875,150000.0,NEAR BAY
